00:17:18.548 [main] INFO  com.chuf.sys.io.OSFileIO - Start process com.chuf.sys.io.OSFileIO...
16:52:18.907 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
16:52:18.915 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
16:52:18.916 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/./xxoo.txt
16:52:18.916 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:.
16:52:18.917 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
16:52:18.917 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
16:52:18.917 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
16:52:18.917 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
16:52:49.983 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
16:52:49.987 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
16:52:49.987 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/xxoo.txt
16:52:49.987 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:null
16:52:49.987 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
16:52:49.987 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
16:52:49.988 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
16:52:49.988 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
16:53:27.348 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/./sysio/xxoo.txt
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:./sysio
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
16:53:27.352 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
16:53:27.353 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
17:03:46.565 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/xxoo.txt
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:null
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
17:03:46.570 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
17:03:46.571 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
17:03:46.571 [main] INFO  com.chuf.sys.io.FileTest - 删除文件:true
17:03:56.845 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
17:03:56.849 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
17:03:56.849 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/xxoo.txt
17:03:56.849 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:null
17:03:56.849 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
17:03:56.849 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
17:03:56.850 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
17:03:56.850 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
17:25:13.304 [main] INFO  com.chuf.sys.io.FileTest - 文件创建成功true
17:25:13.308 [main] INFO  com.chuf.sys.io.FileTest - 文件名称:xxoo.txt
17:25:13.308 [main] INFO  com.chuf.sys.io.FileTest - 文件绝对路径:/Users/wb_chufan/IdeaProjects/Dash/./sysio/xxoo.txt
17:25:13.308 [main] INFO  com.chuf.sys.io.FileTest - 文件父级目录:./sysio
17:25:13.308 [main] INFO  com.chuf.sys.io.FileTest - 文件大小:0
17:25:13.309 [main] INFO  com.chuf.sys.io.FileTest - 文件是否存在:true
17:25:13.309 [main] INFO  com.chuf.sys.io.FileTest - 是不是一个文件:true
17:25:13.309 [main] INFO  com.chuf.sys.io.FileTest - 是不是同一个目录:false
17:26:03.916 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.920 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:å
17:26:03.920 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:½
17:26:03.920 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:°
17:26:03.920 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ç
17:26:03.920 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:²
17:26:03.921 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.921 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:ä
17:26:03.921 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
17:26:03.921 [main] INFO  com.chuf.sys.io.FileInputStreamTest - 输出:
